DES_GOLDNAME	DES_GENRE	DES_DETAILTYPE	MAR_FIRST_DETAIL	MAR_COUNT	DES_BADVALUES	DES_STANDARDVALUES
V« Ma Ma Ni qu¸n	0	36	1164	6	1500000000	2100000000
V« Ma TÈy T­îng Ngäc KhÊu 	0	39	801	6	1500000000	2100000000
V« Ma Hång Truy NhuyÔn Th¸p hµi	0	40	807	6	1500000000	2100000000
V« TrÇn Ngäc N÷ Tè T©m qu¸n	0	41	1170	6	1500000000	2100000000
V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	42	813	6	1500000000	2100000000
V« TrÇn PhËt Quang ChØ Hoµn	0	45	1049	6	1500000000	2100000000
Tª Hoµng Phông Nghi ®ao	0	46	630	9	1500000000	2100000000
Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	48	1176	6	1500000000	2100000000
Tª Hoµng B¨ng Tung CÈm uyÓn	0	49	1055	6	1500000000	2100000000
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	0	51	639	9	1500000000	2100000000
BÝch H¶i Hång Linh Kim Ti ®¸i	0	53	1182	6	1500000000	2100000000
BÝch H¶i Hång L¨ng Ba	0	54	819	6	1500000000	2100000000
U Lung Kim Xµ Ph¸t ®¸i	0	56	825	6	1500000000	2100000000
U Lung Thanh Ng« TriÒn yªu	0	58	1188	6	1500000000	2100000000
U Lung MÆc Thï NhuyÔn Lý 	0	60	831	6	1500000000	2100000000
Minh ¶o Tµ S¸t §éc NhËn	0	61	648	9	1500000000	2100000000
Minh ¶o U §éc ¸m Y	0	62	1061	6	1500000000	2100000000
Minh ¶o Hñ Cèt Hé uyÓn	0	64	1194	6	1500000000	2100000000
Chó Ph­îc Ph¸ gi¸p ®Çu hoµn	0	66	1067	6	1500000000	2100000000
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	67	837	6	1500000000	2100000000
Chó Ph­îc Xuyªn T©m §éc UyÓn	0	69	1200	6	1500000000	2100000000
B¨ng Hµn §¬n ChØ Phi §ao	0	71	980	9	1500000000	2100000000
B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	72	1073	6	1500000000	2100000000
B¨ng Hµn T©m TiÔn Yªu KhÊu	0	73	1206	6	1500000000	2100000000
Thiªn Quang Hoa Vò M¹n Thiªn	0	76	657	9	1500000000	2100000000
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	77	989	6	1500000000	2100000000
Thiªn Quang S©m La Thóc §¸i	0	78	1212	6	1500000000	2100000000
S©m Hoang Phi Tinh §o¹t Hån	0	81	666	9	1500000000	2100000000
S©m Hoang Hån Gi¶o Yªu Thóc	0	83	1218	6	1500000000	2100000000
S©m Hoang Tinh VÉn Phi Lý 	0	85	1079	6	1500000000	2100000000
§Þa Ph¸ch Ngò hµnh Liªn Hoµn Qu¸n	0	86	1085	6	1500000000	2100000000
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	87	843	6	1500000000	2100000000
§Þa Ph¸ch KhÊu T©m tr¹c	0	89	1224	6	1500000000	2100000000
§ång Cõu Gi¸ng Long C¸i Y	0	92	849	6	1500000000	2100000000
§ång Cõu TiÒm Long Yªu §¸i	0	93	1230	6	1500000000	2100000000
§ång Cõu Kh¸ng Long Hé UyÓn	0	94	855	6	1500000000	2100000000
§Þch Kh¸i Lôc Ngäc Tr­îng	0	96	675	9	1500000000	2100000000
§Þch Kh¸i TriÒn M·ng yªu ®¸i	0	98	1236	6	1500000000	2100000000
§Þch Kh¸i CÈu TÝch B× Hé uyÓn	0	99	1091	6	1500000000	2100000000
Ma S¸t Quû Cèc U Minh Th­¬ng	0	101	684	9	1500000000	2100000000
Ma S¸t Tµn D­¬ng ¶nh HuyÕt Gi¸p	0	102	1097	6	1500000000	2100000000
Ma S¸t XÝch Ký Táa Yªu KhÊu	0	103	1254	6	1500000000	2100000000
Ma Hoµng Kim Gi¸p Kh«i	0	106	861	6	1500000000	2100000000
Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	0	107	867	6	1500000000	2100000000
Ma Hoµng Khª Cèc Thóc yªu ®¸i	0	108	1242	6	1500000000	2100000000
Ma ThÞ LiÖt DiÖm Qu¸n MiÖn	0	111	1103	6	1500000000	2100000000
Ma ThÞ HuyÕt Ngäc ThÊt S¸t Béi	0	114	1248	6	1500000000	2100000000
Ma ThÞ s¬n  H¶i Phi Hång Lý 	0	115	873	6	1500000000	2100000000
L¨ng Nh¹c Th¸i Cùc KiÕm	0	116	1010	9	1500000000	2100000000
L¨ng Nh¹c Né L«i Giíi	0	118	1260	6	1500000000	2100000000
L¨ng Nh¹c V« Cùc HuyÒn Ngäc Béi	0	119	879	6	1500000000	2100000000
CËp Phong Ch©n Vò KiÕm	0	121	693	9	1500000000	2100000000
CËp Phong Tam Thanh Phï 	0	122	885	6	1500000000	2100000000
CËp Phong HuyÒn Ti Tam §o¹n cÈm	0	123	1266	6	1500000000	2100000000
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt	0	126	702	9	1500000000	2100000000
S­¬ng Tinh Thanh Phong Lò ®¸i	0	128	1272	6	1500000000	2100000000
S­¬ng Tinh Thiªn Tinh B¨ng Tinh thñ 	0	129	1109	6	1500000000	2100000000
L«i Khung Hµn Tung B¨ng B¹ch quan	0	131	1004	6	1500000000	2100000000
L«i Khung Thiªn §Þa Hé phï 	0	132	891	6	1500000000	2100000000
L«i Khung Phong L«i Thanh CÈm ®¸i	0	133	1278	6	1500000000	2100000000
Vô ¶o B¾c Minh §¹o qu¸n	0	136	897	6	1500000000	2100000000
Vô ¶o Thanh ¶nh HuyÒn Ngäc Béi	0	139	1284	6	1500000000	2100000000
Vô ¶o Tung Phong TuyÕt ¶nh ngoa	0	140	1115	6	1500000000	2100000000
§Þnh Quèc Thanh Sa Tr­êng Sam	0	159	927	4	1500000000	2100000000
§Þnh Quèc ¤ Sa Ph¸t Qu¸n	0	160	783	6	1500000000	2100000000
§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	0	161	931	4	1500000000	2100000000
§Þnh Quèc Tö §»ng Hé uyÓn	0	162	935	4	1500000000	2100000000
§Þnh Quèc Ng©n Tµm Yªu ®¸i	0	163	939	4	1500000000	2100000000
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	164	747	6	1500000000	2100000000
An Bang Cóc Hoa Th¹ch ChØ hoµn	0	165	753	6	1500000000	2100000000
An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	166	759	6	1500000000	2100000000
An Bang Kª HuyÕt Th¹ch Giíi ChØ 	0	167	765	6	1500000000	2100000000
HiÖp Cèt ThiÕt HuyÕt Sam	0	186	903	4	1500000000	2100000000
HiÖp Cèt §a T×nh Hoµn	0	187	907	4	1500000000	2100000000
HiÖp Cèt §an T©m Giíi	0	188	911	4	1500000000	2100000000
HiÖp Cèt T×nh ý KÕt	0	189	771	6	1500000000	2100000000
Nhu T×nh C©n Quèc Nghª Th­êng	0	190	777	6	1500000000	2100000000
Nhu T×nh Thôc N÷ H¹ng Liªn	0	191	915	4	1500000000	2100000000
Nhu T×nh  Phông Nghi Giíi ChØ 	0	192	919	4	1500000000	2100000000
Nhu T×nh  TuÖ T©m Ngäc Béi	0	193	923	4	1500000000	2100000000
§¹i M· Hæ TrÝch Tinh hoµn	0	194	711	6	1500000000	2100000000
§¹i M· Hæ §­êng Nghª gi¸p	0	195	717	6	1500000000	2100000000
§¹i M· Hæ Lôc PhØ Thóy Hé Th©n phï 	0	196	723	6	1500000000	2100000000
§¹i M· Hæ B¾c Kinh Chi Méng	0	197	540	9	1500000000	2100000000
§¹i M· Hæ B¹ch Kim yªu ®¸i	0	198	729	6	1500000000	2100000000
§¹i M· Hæ Thiªn Tµm Hé UyÓn	0	199	735	6	1500000000	2100000000
§¹i M· Hæ Ngò S¾c Ngäc Béi	0	200	549	9	1500000000	2100000000
§¹i M· Hæ Thiªn Tµm Ngoa	0	201	741	6	1500000000	2100000000
§¹i M· Hæ Nha §iÓn Chi Hån	0	202	558	9	1500000000	2100000000
§¹i M· Hæ B«n L«i Toµn Long th­¬ng	0	203	567	9	1500000000	2100000000
Hång ¶nh ThÈm Viªn UyÓn	0	204	1292	6	1500000000	2100000000
Hång ¶nh KiÕm Bµi	0	205	1298	6	1500000000	2100000000
Hång ¶nh Môc Tóc	0	206	1304	6	1500000000	2100000000
Hång ¶nh Tô Chiªu	0	207	1310	6	1500000000	2100000000
§éng S¸t B¹ch Kim §iªu Long Giíi	0	143	1398	9	1500000000	2100000000
§éng S¸t B¹ch Ngäc Cµn Kh«n Béi	0	144	1416	9	1500000000	2100000000
§éng S¸t B¹ch Kim Tó Phông Giíi	0	145	1407	9	1500000000	2100000000
§éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn	0	146	1425	9	1500000000	2100000000
To¹i Nh©n XÝch HuyÕt Nguyªn Vò Gi¸p	0	442	1875	6	1500000000	2100000000
To¹i Nh©n B¸ch LuyÖn Kh«i	0	443	1881	6	1500000000	2100000000
To¹i Nh©n ThÊt L­u Quang Yªu KhÊu	0	444	1887	6	1500000000	2100000000
To¹i Nh©n Trôc Thiªn Ngoa	0	445	1893	6	1500000000	2100000000
To¸i Nh©n Kim Lò NhuyÔn Vi Hé UyÓn	0	446	1899	6	1500000000	2100000000
To¸i Nh©n §o¹n Th­¬ng	0	447	1905	6	1500000000	2100000000
To¸i Nh©n Vò L©m Linh	0	448	1911	6	1500000000	2100000000
To¹i Nh©n B¸t Nh· Ngäc Ban ChØ	0	449	1917	6	1500000000	2100000000
To¹i Nh©n Thiªn PhËt Ngäc Ban ChØ	0	450	1923	6	1500000000	2100000000
To¹i Nh©n HuyÒn Kim L­u Ly Béi	0	451	1929	6	1500000000	2100000000
Phôc Hi Hçn §én Ngù Linh Y	0	452	1935	6	1500000000	2100000000
Phôc Hi Thª Hµ M¹o	0	453	1941	6	1500000000	2100000000
Phôc Hi Ph­¬ng Phi Ngäc Lung Yªu Hoµn	0	454	1947	6	1500000000	2100000000
Phôc Hi Hoan ¶nh KÞch	0	455	1953	6	1500000000	2100000000
Phôc Hi V« L­îng TÞch Tµ Thñ	0	456	1959	6	1500000000	2100000000
Phôc Hi To¸i T©m	0	457	1965	6	1500000000	2100000000
Phôc Hi Khóc Du Xu©n	0	458	1971	6	1500000000	2100000000
Phôc Hi B¸i Tinh Giíi ChØ	0	459	1977	6	1500000000	2100000000
Phôc Hi Lo¹i NguyÖt Giíi ChØ	0	460	1983	6	1500000000	2100000000
Phôc Hi Hæ Ph¸ch Hé Phï	0	461	1989	6	1500000000	2100000000
N÷ Oa BÝch TÞch NhuyÔn Hå CÇu	0	462	1995	6	1500000000	2100000000
N÷ Oa Hång Nhan Ph¸t §¸i	0	463	2001	6	1500000000	2100000000
N÷ Oa Lôc NghÖ Nghª Th­êng Thóc §¸i	0	464	2007	6	1500000000	2100000000
N÷ Oa §¹p L·ng L÷	0	465	2013	6	1500000000	2100000000
N÷ Oa Bå §Ò TÞnh TÈm CÈm UyÓn	0	466	2019	6	1500000000	2100000000
N÷ Oa Hµn T­¬ng	0	467	2025	6	1500000000	2100000000
N÷ Oa NiÖm N« KiÒu	0	468	2031	6	1500000000	2100000000
N÷ Oa DËt Th¸i ChØ Hoµn	0	469	2037	6	1500000000	2100000000
N÷ Oa Tiªu T­¬ng ChØ Hoµn	0	470	2043	6	1500000000	2100000000
N÷ Oa ¸m H­¬ng Thu Thñy KÕt	0	471	2049	6	1500000000	2100000000
Chóc Dung LiÖt DiÖm Né Phong Trang	0	472	2055	6	1500000000	2100000000
Chóc Dung PhÇn D­¬ng Qu¸n	0	473	2061	6	1500000000	2100000000
Chóc Dung Thiªn Viªm L­u Yªn CÈm §¸i	0	474	2067	6	1500000000	2100000000
Chóc Dung TuyÖt TrÇn Ngoa	0	475	2073	6	1500000000	2100000000
Chóc Dung Kinh ChÝch BÊt DiÖt Tr¶o	0	476	2079	6	1500000000	2100000000
Chóc Dung Ph¸ NhËt	0	477	2085	6	1500000000	2100000000
Chóc Dung Tóy Th¸i B×nh	0	478	2091	6	1500000000	2100000000
Chóc Dung B¸ch LiÖt Ban ChØ	0	479	2097	6	1500000000	2100000000
Chóc Dung Thiªn §oµn Ban ChØ	0	480	2103	6	1500000000	2100000000
Chóc Dung Tam Tiªn TrÊn T©y Phï	0	481	2109	6	1500000000	2100000000
ThÇn N«ng Tiªu D­¬ng §Þa Hoµng Y	0	482	2115	6	1500000000	2100000000
ThÇn N«ng Né L«i §Çu Hoµn	0	483	2121	6	1500000000	2100000000
ThÇn N«ng MÆc L©n TriÒn Yªu	0	484	2127	6	1500000000	2100000000
ThÇn N«ng Ngù Phong L÷	0	485	2133	6	1500000000	2100000000
ThÇn N«ng Th­¬ng M·ng Cæn Long UyÓn	0	486	2139	6	1500000000	2100000000
ThÇn N«ng Tr¶m Nh¹c	0	487	2145	6	1500000000	2100000000
ThÇn N«ng Thiªn TÞnh Sa	0	488	2151	6	1500000000	2100000000
ThÇn N«ng NhiÕp Hån C¸t T­êng Giíi	0	489	2157	6	1500000000	2100000000
ThÇn N«ng C©u Ph¸ch Nh­ ý Giíi	0	490	2163	6	1500000000	2100000000
ThÇn N«ng ¢m D­¬ng S¸t T©m KÕt	0	491	2169	6	1500000000	2100000000
