tªn thuéc tÝnh	Cã Ph¶I Lµ TiÒn Tè Hay Kh«ng	 Ngò  Hµnh Yªu Cçu 	Yªu Cçu CÊp §é	ID Thuéc TÝnh 	Tham Sè 1 Tèi ThiÓu	Tham Sè 1 Tèi ®a	Tham Sè 2 Tèi ThiÓu	Tham Sè 2 Tèi ®a	Tham Sè 3 Tèi thiÓu	Tham Sè 3 tèi ®a	HiÖu Qu¶ ThuyÕt Minh
tèc ®é ®¸nh ngo¹i c«ng				115	15	30	-1	-1	0	0	0
s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng %				126	-12	12	-1	-1	6	6	0
s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng %				126	25	50	-1	-1	6	6	0
s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng %				126	40	60	-1	-1	6	6	0
s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng %				126	50	75	-1	-1	6	6	0
TØ LÖ c«ng kÝch chÝnh x¸c 				166	-50	50	-1	-1	0	0	0
TØ LÖ c«ng kÝch chÝnh x¸c 				166	90	150	-1	-1	0	0	0
TØ LÖ c«ng kÝch chÝnh x¸c 				166	120	180	-1	-1	0	0	0
TØ LÖ c«ng kÝch chÝnh x¸c 				166	225	300	-1	-1	0	0	0
Søc M¹nh  (§iÓm)				97	-7	2	-1	-1	0	0	0
Søc M¹nh  (§iÓm)				97	6	10	-1	-1	0	0	0
Søc M¹nh  (§iÓm)				97	8	12	-1	-1	0	0	0
Søc M¹nh  (§iÓm)				97	15	20	-1	-1	0	0	0
Ngo¹i C«ng 1				99	-7	2	-1	-1	0	0	0
Ngo¹i C«ng 2				99	6	10	-1	-1	0	0	0
Sinh KhÝ  (§iÓm)				99	8	12	-1	-1	0	0	0
Sinh KhÝ  (§iÓm)				99	15	20	-1	-1	0	0	0
Néi C«ng  (§iÓm)				100	-7	2	-1	-1	0	0	0
Néi C«ng  (§iÓm)				100	6	10	-1	-1	0	0	0
Néi C«ng  (§iÓm)				100	8	12	-1	-1	0	0	0
Néi C«ng  (§iÓm)				100	15	20	-1	-1	0	0	0
Th©n Ph¸p (§iÓm)				98	-7	2	-1	-1	0	0	0
Th©n Ph¸p (§iÓm)				98	6	10	-1	-1	0	0	0
Th©n Ph¸p (§iÓm)				98	8	12	-1	-1	0	0	0
Th©n Ph¸p (§iÓm)				98	15	20	-1	-1	0	0	0
S¸t th­¬ng vËt lÝ  ngo¹i c«ng (§iÓm)				121	15	25	-1	-1	0	0	0
S¸t th­¬ng vËt lÝ  ngo¹i c«ng (§iÓm)				121	20	30	-1	-1	0	0	0
S¸t th­¬ng vËt lÝ  ngo¹i c«ng (§iÓm)				121	25	30	-1	-1	0	0	0
B¨ng S¸t Ngo¹i C«ng §iÓm 				123	30	50	-1	-1	0	0	0
B¨ng S¸t Ngo¹i C«ng §iÓm 				123	40	60	-1	-1	0	0	0
B¨ng S¸t Ngo¹i C«ng §iÓm 				123	75	100	-1	-1	0	0	0
§éc S¸t Ngo¹i C«ng (§iÓm)				125	10	15	-1	-1	0	0	0
§éc S¸t Ngo¹i C«ng (§iÓm)				125			-1	-1	0	0	0
§éc S¸t Ngo¹i C«ng (§iÓm)				125			-1	-1	0	0	0
Kh¸ng   Háa1				102	-5	5	-1	-1	0	0	0
Kh¸ng   Háa2				102	20	25	-1	-1	0	0	0
Kh¸ng   Háa3				102	20	30	-1	-1	0	0	0
Kh¸ng   Háa4				102	35	50	-1	-1	0	0	0
Kh¸ng B¨ng  1				105	-5	5	-1	-1	0	0	0
Kh¸ng B¨ng  2				105	15	25	-1	-1	0	0	0
Kh¸ng B¨ng  3				105	20	30	-1	-1	0	0	0
Kh¸ng B¨ng  4				105	35	50	-1	-1	0	0	0
Kh¸ng  L«i 1				103	-5	5	-1	-1	0	0	0
Kh¸ng  L«i 2				103	15	25	-1	-1	0	0	0
Kh¸ng  L«i 3				103	25	30	-1	-1	0	0	0
Kh¸ng  L«i 4				103	35	50	-1	-1	0	0	0
Kh¸ng  §éc 1				101	-5	5	-1	-1	0	0	0
Kh¸ng  §éc 2				101	15	25	-1	-1	0	0	0
Kh¸ng  §éc 3				101	20	30	-1	-1	0	0	0
Kh¸ng  §éc 4				101	35	50	-1	-1	0	0	0
phßng thñ vËt lý				104	-5	5	-1	-1	0	0	0
phßng thñ vËt lý				104	15	25	-1	-1	0	0	0
phßng thñ vËt lý				104	20	30	-1	-1	0	0	0
phßng thñ vËt lý				104	30	50	-1	-1	0	0	0
May M¾n 1				135	6	10	-1	-1	0	0	0
May M¾n 2				135	8	12	-1	-1	0	0	0
May M¾n 3				135	15	25	-1	-1	0	0	0
tèc ®é di chuyÓn				111	-10	10	-1	-1	0	0	0
tèc ®é di chuyÓn				111	25	40	-1	-1	0	0	0
tèc ®é di chuyÓn				111	35	50	-1	-1	0	0	0
tèc ®é di chuyÓn				111	40	50	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	-5	5	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	12	20	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	16	24	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	30	40	-1	-1	0	0	0
Hót sinh lùc  ®èi ph­¬ng				136	2	6	-1	-1	0	0	0
Hót sinh lùc  ®èi ph­¬ng				136	4	8	-1	-1	0	0	0
Hót sinh lùc  ®èi ph­¬ng				136	6	10	-1	-1	0	0	0
Hót Néi lùc   ®èi ph­¬ng				137	2	10	-1	-1	0	0	0
Hót Néi lùc   ®èi ph­¬ng				137	4	8	-1	-1	0	0	0
Hót Néi lùc   ®èi ph­¬ng				137	8	12	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 1				134	8	12	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 2				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 3				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 1				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 2				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 3				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 1				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 2				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 3				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 1				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 2				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa s¸t th­¬ng Thµnh Néi Lùc 3				134	1	1	-1	-1	0	0	0
thêi gian ®éc ph¸t -%				164	10	20	-1	-1	0	0	0
Tèc §é ®¸nh néi c«ng(HiÖn)				116	24	36	-1	-1	0	0	0
Kh«ng ThÓ Ph¸ Hñy				43	1	1	-1	-1	0	0	0
KÜ N¨ng Vâ C«ng Vèn Cã 1KNVC				139	1	1	-1	-1	0	0	0
KÜ N¨ng Vâ C«ng Vèn Cã 2KNVC				139	2	2	-1	-1	0	0	0
KÜ N¨ng Vâ C«ng Vèn Cã 3KNVC				139	3	3	-1	-1	0	0	0
T¨ng TÊn C«ng ChÝ  M¹ng1				146	5	10	-1	-1	0	0	0
T¨ng TÊn C«ng ChÝ  M¹ng2				146	8	12	-1	-1	0	0	0
Bá Qua NÐ Tr¸nh 1				58	1	2	-1	-1	0	0	0
Bá Qua NÐ Tr¸nh 2				58	8	12	-1	-1	0	0	0
ph¶n ®ßn cËn chiÕn				117	5	10	-1	-1	0	0	0
ph¶n ®ßn cËn chiÕn				117	8	12	-1	-1	0	0	0
ph¶n ®ßn cËn chiÕn				117	12	16	-1	-1	0	0	0
s¸t th­¬ng VËt lý hÖ Néi c«ng				168			-1	-1	0	0	0
s¸t th­¬ng VËt lý hÖ Néi c«ng				168			-1	-1	0	0	0
s¸t th­¬ng VËt lý hÖ Néi c«ng				168			-1	-1	0	0	0
§éc  S¸t Néi C«ng				172	20	30	-1	-1	0	0	0
§éc  S¸t Néi C«ng				172			-1	-1	0	0	0
§éc  S¸t Néi C«ng				172			-1	-1	0	0	0
B¨ng  S¸t Néi C«ng (§iÓm)				169	120	200	-1	-1	0	0	0
B¨ng  S¸t Néi C«ng (§iÓm)				169	160	240	-1	-1	0	0	0
B¨ng  S¸t Néi C«ng (§iÓm)				169	200	300	-1	-1	0	0	0
Háa S¸t Néi C«ng				170			-1	-1	0	0	0
Háa S¸t Néi C«ng				170	80	120	-1	-1	0	0	0
Háa S¸t Néi C«ng				170	120	200	-1	-1	0	0	0
L«i  S¸t Néi C«ng				171	200	300	-1	-1	0	0	0
L«i  S¸t Néi C«ng				171	100	150	-1	-1	0	0	0
L«i  S¸t Néi C«ng				171	120	180	-1	-1	0	0	0
TuyÖt Ma  Thiªn L¸i 1KNVC				139	1	3	-1	-1	273	273	0
Tinh TÊn ChiÕn ýKNVC				139	1	3	-1	-1	36	36	0
PhËt Ph¸p V« BiªnKNVC				139	1	3	-1	-1	252	252	0
PhËt T©m Tõ H÷u KNVC				139	1	3	-1	-1	92	92	0
B¨ng Cèt TuyÕt T©m KNVC				139	1	3	-1	-1	114	114	0
 Ngò §éc  K× Kinh KNVC				139	1	3	-1	-1	75	75	0
Xuyªn T©m§éc Ch©m KNVC				139	1	3	-1	-1	72	72	0
T©m Nh·n 1KNVC				139	1	3	-1	-1	48	48	0
Hµn B¨ng Ch©mKNVC				139	1	3	-1	-1	345	345	0
Tóy §Üa Cuång Vò1KNVC				139	1	3	-1	-1	130	130	0
Thiªn Ma Gi¶i ThÓ1KNVC				139	1	3	-1	-1	150	150	0
Bi Thiªn Thanh Phong1KNVC				139	1	3	-1	-1	364	364	0
Th¸i Cùc ThÇn C«ng  1KNVC				139	1	3	-1	-1	166	166	0
suong ngao con lon 1KNVC				139	1	3	-1	-1	275	275	0
ki ban phuKNVC				139	1	3	-1	-1	174	174	0
thieu lam quyen phap1KNVC				139	1	3	-1	-1	8	8	0
Long Trao Ho TraoKNVC				139	1	3	-1	-1	271	271	0
Hang long bat vuKNVC				139	1	3	-1	-1	14	14	0
La Han TranKNVC				139	1	3	-1	-1	16	16	0
Dich Can Kinh KNVC				139	1	3	-1	-1	21	21	0
Thieu Lam Con PHapKNVC				139	1	3	-1	-1	4	4	0
Hoanh Tao Luc HopKNVC				139	1	3	-1	-1	11	11	0
Kim Cang Phuc MaKNVC				139	1	3	-1	-1	10	10	0
Thieu Lam Dao PhapKNVC				139	1	3	-1	-1	6	6	0
Ma Ha Vo LuongKNVC				139	1	3	-1	-1	19	19	0
Thien Vuong Chuy PhapKNVC				139	1	3	-1	-1	26	26	0
Vo Tuong TraoKNVC				139	1	3	-1	-1	32	32	0
Kinh Loi TraoKNVC				139	1	3	-1	-1	34	34	0
Phach Phong  Trao KNVC				139	1	3	-1	-1	37	37	0
 Kim Chung Tr¸o KNVC				139	1	3	-1	-1	42	42	0
Thiªn  V­¬ng Th­¬ng  Ph¸pKNVC				139	1	3	-1	-1	23	23	0
M¸u ChiÕn B¸t Ph­¬ng KNVC				139	1	3	-1	-1	41	41	0
Thiªn V­¬ng§ao Ph¸p KNVC				139	1	3	-1	-1	24	24	0
Håi Phong L¹c ®ÞaKNVC				139	1	3	-1	-1	30	30	0
D­¬ng quan tam ®iÖp KNVC				139	1	3	-1	-1	35	35	0
Thõa Long QuyÕt KNVC				139	1	3	-1	-1	324	324	0
 Trao Long QuyÕt KNVC				139	1	3	-1	-1	29	29	0
 Hµnh V©n QuyÕt KNVC				139	1	3	-1	-1	31	31	0
Nga Mi KiÕm  Ph¸pKNVC				139	1	3	-1	-1	77	77	0
 BÊt DiÖt  BÊt TuyÖt KNVC				139	1	3	-1	-1	88	88	0
Phiªu TuyÕt Xuyªn M©y KNVC				139	1	3	-1	-1	80	80	0
NhÊt DiÖp Tri Thu KNVC				139	1	3	-1	-1	85	85	0
L­uThñy KNVC				139	1	3	-1	-1	86	86	0
Nga Mi Ch­ëng  Ph¸p1KNVC				139	1	3	-1	-1	79	79	0
 Tø  T­îng §ång Quy KNVC				139	1	3	-1	-1	82	82	0
PhËt quang Phæ ChiÕu KNVC				139	1	3	-1	-1	91	91	0
Thanh ¢m Ph¹n X­ëngKNVC				139	1	3	-1	-1	282	282	0
 Kim §Ønh B¨ng  Quang KNVC				139	1	3	-1	-1	82	82	0
Tõ hµng Phæ §é  KNVC				139	1	3	-1	-1	93	93	0
Thóy Yªn  §aoPh¸pKNVC				139	1	3	-1	-1	95	95	0
Môc D· L­u Tinh  KNVC				139	1	3	-1	-1	108	108	0
 Phong Hoa TuyÕt NguyÖt KNVC				139	1	3	-1	-1	99	99	0
Vò§· Lª Hoa KNVC				139	1	3	-1	-1	105	105	0
TuyÕt V« KNVC				139	1	3	-1	-1	270	270	0
Thóy Yªn Song  §ao 1KNVC				139	1	3	-1	-1	97	97	0
 Phong Cuèn Tµn TuyÕt KNVC				139	1	3	-1	-1	102	102	0
Phong uyÓn t¸n TuyÕt KNVC				139	1	3	-1	-1	113	113	0
§­êng M«n ¸m KhÝKNVC				139	1	3	-1	-1	43	43	0
TiÓu lý phi ®ao KNVC				139	1	3	-1	-1	249	249	0
Ph¶n KNVC				139	1	3	-1	-1	45	45	0
Truy T©m TiÔn KNVC				139	1	3	-1	-1	50	50	0
Thiªn §Þa KNVC				139	1	3	-1	-1	58	58	0
m¹n Thiªn Hoa VòKNVC				139	1	3	-1	-1	54	54	0
Hoa KNVC				139	1	3	-1	-1	341	341	0
LiÖt Háa Liªu Nguyªn KNVC				139	1	3	-1	-1	47	47	0
Ngò  Hµnh Kú TrËn 				43	1	3	-1	-1	0	0	0
§Þa Viªm Háa 1KNVC				139	1	3	-1	-1	347	347	0
§éc Ch©m 1KNVC				139	1	3	-1	-1	303	303	0
Xuyªn T©mCh©m KNVC				139	1	3	-1	-1	343	343	0
L«i§¸nh KNVC				139	1	3	-1	-1	349	349	0
 Ngò §éc Ch­ëng  Ph¸pKNVC				139	1	3	-1	-1	62	62	0
Thiªn §Þa  Thñ  KNVC				139	1	3	-1	-1	71	71	0
§éc Ch­ëng  KNVC				139	1	3	-1	-1	63	63	0
 Minh KNVC				139	1	3	-1	-1	68	68	0
V¹n Cèt HuyÕt T©m  1KNVC				139	1	3	-1	-1	73	73	0
 Ngò §éc  §ao  Ph¸p KNVC				139	1	3	-1	-1	60	60	0
 Minh KNVC				139	1	3	-1	-1	74	74	0
M¸u §ao §éc KNVC				139	1	3	-1	-1	65	65	0
Xuyªn Y Bé Gi¸p KNVC				139	1	3	-1	-1	356	356	0
Cöu Thiªn Cuång «i  KNVC				139	1	3	-1	-1	67	67	0
B¨ng Lam HuyÒn Tinh KNVC				139	1	3	-1	-1	64	64	0
PhiLong T¹i Thiªn KNVC				139	1	3	-1	-1	70	70	0
C¸i Bang Ch­ëng  Ph¸p   KNVC				139	1	3	-1	-1	116	116	0
Kh¸ng Long Huu H«i  KNVC				139	1	3	-1	-1	128	128	0
kiÕn Nh©n ThÇn  Thñ KNVC				139	1	3	-1	-1	122	122	0
Gi¸ng Long  Ch­ëng  KNVC				139	1	3	-1	-1	274	274	0
Ho¹t  BÊt l­u  Thñ  KNVC				139	1	3	-1	-1	277	277	0
C¸i Bang Bæng  Ph¸p KNVC				139	1	3	-1	-1	115	115	0
Diªn M«n §a Tr¸i KNVC				139	1	3	-1	-1	119	119	0
§· TrËn KNVC				139	1	3	-1	-1	124	124	0
Thiªn NhÉn  Ph¸pKNVC				139	1	3	-1	-1	132	132	0
Thiªn KNVC				139	1	3	-1	-1	142	142	0
Tµn D­¬ngTuyÖt M¸uKNVC				139	1	3	-1	-1	135	135	0
LiÖt Háa Liªu Thiªn KNVC				139	1	3	-1	-1	141	141	0
 Ngò  Hµnh TrËn KNVC				139	1	3	-1	-1	146	146	0
Thiªn NhÉn  §ao  Ph¸pKNVC				139	1	3	-1	-1	131	131	0
Long ThÊt   KNVC				139	1	3	-1	-1	148	148	0
Ph¶n ChØ LiÖt KNVC				139	1	3	-1	-1	145	145	0
Th«i S¬n §iÒn h¶i   KNVC				139	1	3	-1	-1	138	138	0
KNVC				139	1	3	-1	-1	143	143	0
HáaLiªu KNVC				139	1	3	-1	-1	136	136	0
¶nh KNVC				139	1	3	-1	-1	137	137	0
Phi Hång V« TÞch 1KNVC				139	1	3	-1	-1	140	140	0
Vâ§ang KiÕm  Ph¸pKNVC				139	1	3	-1	-1	151	151	0
Tam Hoµn Tho¸t NguyÖt   KNVC				139	1	3	-1	-1	267	267	0
h¶i NguyÖt  KNVC				139	1	3	-1	-1	155	155	0
KiÕm Thiªn  KNVC				139	1	3	-1	-1	158	158	0
ThÕ V©n Tung KNVC				139	1	3	-1	-1	160	160	0
Vâ§ang KiÕm  Ph¸pKNVC				139	1	3	-1	-1	152	152	0
V« Ng· V« KiÕm KiÕm 1KNVC				139	1	3	-1	-1	165	165	0
néL«iChØ KNVC				139	1	3	-1	-1	153	153	0
b¾c CÊp Nhi Phôc KNVC				139	1	3	-1	-1	164	164	0
C«n L«n  ®ao ph¸p KNVC				139	1	3	-1	-1	167	167	0
Cuång Phong ChÊn L«i KNVC				139	1	3	-1	-1	176	176	0
H«  Phong  Ph¸p KNVC				139	1	3	-1	-1	169	169	0
NhÊt KhÝ Tam Thanh Phï KNVC				139	1	3	-1	-1	178	178	0
Thanh  Phong  Phï   KNVC				139	1	3	-1	-1	171	171	0
C«n Lu©n KiÕm  Ph¸p KNVC				139	1	3	-1	-1	168	168	0
 Ngò L«i Ph¸pKNVC				139	1	3	-1	-1	182	182	0
Cuång «i ChÊn §Þa KNVC				139	1	3	-1	-1	179	179	0
Thiªn Õ TÊn L«i KNVC				139	1	3	-1	-1	172	172	0
Tam Nga TÒ TuyÕt KNVC				139	1	3	-1	-1	175	175	0
Tóy tiªn T¸ Cèt 				43	1	3	-1	-1	0	0	0
Thiªn Thanh §Þa Träc 1KNVC				139	1	3	-1	-1	173	173	0
T©m Phï KNVC				139	1	3	-1	-1	181	181	0
V¹n §éc Ch©mCh©m KNVC				139	1	3	-1	-1	40	40	0
TÜnh T©mQuyÕt KNVC				139	1	3	-1	-1	33	33	0
TuyÕt ¶nh KNVC				139	1	3	-1	-1	109	109	0
V« H×nh §éc KNVC				139	1	3	-1	-1	69	69	0
 Nh·n  Chó  KNVC				139	1	3	-1	-1	18	18	0
Täa Väng V« Ng· KNVC				139	1	3	-1	-1	157	157	0
ThuÇn D­¬ng T©m Ph¸pKNVC				139	1	3	-1	-1	156	156	0
ThÊt TinhTrËn   KNVC				139	1	3	-1	-1	159	159	0
ThÕ V©n Tung KNVC				139	1	3	-1	-1	160	160	0
Bæng §· ¸c CÈu KNVC				139	1	3	-1	-1	125	125	0
Tiªu Diªu C«ng 				43	1	3	-1	-1	0	0	0
BÝch H¶i TriÒu  SinhKNVC				139	1	3	-1	-1	111	111	0
Ph¶n §ßn CËn ChiÕn %				118	5	10	-1	-1	0	0	0
Ph¶n §ßn CËn ChiÕn %				118	8	12	-1	-1	0	0	0
Ph¶n §ßn CËn ChiÕn %				118	12	16	-1	-1	0	0	0
Ph¶n §ßn TÇm Xa (§iÓm)				120	5	10	-1	-1	0	0	0
Ph¶n §ßn TÇm Xa (§iÓm)				120	8	12	-1	-1	0	0	0
Ph¶n §ßn TÇm Xa (§iÓm)				120	12	16	-1	-1	0	0	0
Søc M¹nh (§iÓm)				97	-55	5	-1	-1	0	0	0
Sinh KhÝ (§iÓm)				99	-55	5	-1	-1	0	0	0
Néi C«ng (§iÓm)				100	-55	5	-1	-1	0	0	0
Th©n Ph¸p (§iÓm)				98	-55	5	-1	-1	0	0	0
Tèc §é ®¸nh néi c«ng(HiÖn)				116	10	20	-1	-1	0	0	0
Tèc §é ®¸nh néi c«ng(HiÖn)				116	18	30	-1	-1	0	0	0
Tèc §é ®¸nh néi c«ng(HiÖn)				116	20	40	-1	-1	0	0	0
Tèc §é ®¸nh néi c«ng(HiÖn)				116	45	60	-1	-1	0	0	0
Thêi  Gian Phôc Håi(HiÖn) 				113	40	50	-1	-1	0	0	0
phßng thñ vËt lý				104	25	30	-1	-1	0	0	0
tèc ®é di chuyÓn				111	36	45	-1	-1	0	0	0
Gi¶m Thêi Gian lµm chËm %				106	40	50	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	15	20	-1	-1	0	0	0
Kh¸ng Háa5				102	25	30	-1	-1	0	0	0
Kh¸ng B¨ng  5				105	25	30	-1	-1	0	0	0
Kh¸ng §éc  5				101	25	30	-1	-1	0	0	0
Sinh Lùc				85	80	120	-1	-1	0	0	0
May M¾n 4				135	1	2	-1	-1	0	0	0
May M¾n 5				135	1	3	-1	-1	0	0	0
phßng thñ vËt lý				104	20	25	-1	-1	0	0	0
Søc M¹nh  (§iÓm)				97	8	12	-1	-1	0	0	0
Th©n Ph¸p (§iÓm)				98	8	12	-1	-1	0	0	0
tèc ®é di chuyÓn				111	40	60	-1	-1	0	0	0
Kh¸ng B¨ng  6				105	20	25	-1	-1	0	0	0
Kh¸ng §éc  6				101	20	25	-1	-1	0	0	0
 BÊt §éng Minh  V­¬ng KNVC				139	1	3	-1	-1	15	15	0
§¹t Ma §é Giang1KNVC				139	1	3	-1	-1	318	318	0
Hoµnh T¶o Thiªn Qu©n KNVC				139	1	3	-1	-1	319	319	0
Long Hæ  Trao KNVC				139	1	3	-1	-1	321	321	0
Ph¸ Thiªn  Trao KNVC				139	1	3	-1	-1	322	322	0
Th«i  S¬n Väng NguyÖt KNVC				139	1	3	-1	-1	385	385	0
Tam Nga TÒ TuyÕt KNVC				139	1	3	-1	-1	328	328	0
Phong S­¬ng To¸i ¶nh KNVC				139	1	3	-1	-1	380	380	0
Méng §iÖp 1KNVC				139	1	3	-1	-1	89	89	0
Phæ §é Chóng SinhKNVC				139	1	3	-1	-1	332	332	0
B¨ng  Tung Vô nh KNVC				139	1	3	-1	-1	336	336	0
©m Phong Thùc Cèt KNVC				139	1	3	-1	-1	353	353	0
b¸ch §éc Xuyªn T©mKNVC				139	1	3	-1	-1	384	384	0
HuyÒn ¢m Tr¶m KNVC				139	1	3	-1	-1	355	355	0
§o¹n C©n Hñ Cèt KNVC				139	1	3	-1	-1	390	390	0
NhiÕp Hån NguyÖt ¶nh KNVC				139	1	3	-1	-1	339	339	0
Vò §x Lª Hoa Lª Hoa KNVC				139	1	3	-1	-1	302	302	0
Cöu Cung Phi TinhKNVC				139	1	3	-1	-1	342	342	0
Hoµn §¸nh KNVC				139	1	3	-1	-1	351	351	0
Phi Long T¹i Thiªn !!!KNVC				139	1	3	-1	-1	357	357	0
Thiªn §Þa V« Cùc KNVC				139	1	3	-1	-1	359	359	0
Lo¹n hoµn kÝch KNVC				139	1	3	-1	-1	361	361	0
Thiªn Ngo¹i L­uTinhKNVC				139	1	3	-1	-1	362	362	0
ThÖ Hån Lo¹n t©mT©m1KNVC				139	1	3	-1	-1	391	391	0
Thiªn §Þa V« Cùc 1KNVC				139	1	3	-1	-1	365	365	0
Nh©n KiÕm Hîp NhÊt  KNVC				139	1	3	-1	-1	368	368	0
Ng¹o TuyÕt Tiªu Phong KNVC				139	1	3	-1	-1	372	372	0
L«i §éng Cöu Thiªn KNVC				139	1	3	-1	-1	375	375	0
Thóc Ên Chó KNVC				139	1	3	-1	-1	392	392	0
Bc  Minh §¸o h¶i 1KNVC				139	1	3	-1	-1	393	393	0
Mª Tung Ho¸n ¶nhKNVC				139	1	3	-1	-1	90	90	0
Tóy tiªn T¸ Cèt KNVC				139	1	3	-1	-1	394	394	0
Kh¸ng L«i  5				103	6	12	-1	-1	0	0	0
Kh¸ng L«i  6				103	6	18	-1	-1	0	0	0
Kh¸ng Háa6				102	5	10	-1	-1	0	0	0
Kh¸ng Háa7				102	5	15	-1	-1	0	0	0
phßng thñ vËt lý				104	5	8	-1	-1	0	0	0
Kh¸ng B¨ng  7				105	5	15	-1	-1	0	0	0
Kh¸ng §éc  7				101	5	10	-1	-1	0	0	0
