TASK_ID_FIRST	TASK_ID_LAST	TASK_NAME	SYNC_FLAG	CLIENT_FLAG	TASK_DESCRIBE
44		NhiÖm vô Hå Tö gia nhËp M«n ph¸i			
45		NhiÖm vô Hå Tö sö dông cung tªn			
46		NhiÖm vô Ng­ nh©n nhá ë Ba L¨ng			
47		NhiÖm vô Bµ giµ cæ ë Ba L¨ng			
48		NhiÖm vô ¸ Ph­¬ng ë Ba L¨ng			
49		NhiÖm vô ¤ng bµ Ng« ë Giao C©n			
50		NhiÖm vô §¸nh thøc Høa Trung Nguyªn			
51		NhiÖm vô TÈy trõ oan uæng			
52		NhiÖm vô QuyÒn Khuynh Thiªn (PhÇn biÕn sè 1)			
53		NhiÖm vô QuyÒn Khuynh Thiªn (PhÇn biÕn sè 2)			
54		NhiÖm vô QuyÒn Khuynh Thiªn (PhÇn biÕn sè 3)			
55		NhiÖm vô QuyÒn Khuynh Thiªn (PhÇn biÕn sè 4)			
56		NhiÖm vô QuyÒn Khuynh Thiªn (PhÇn biÕn sè 5)			
57		CËp nhËt kü n¨ng			
58		
59		NhiÖm vô ThÕ giíi: Göi th­ ®Õn BiÖn Kinh			
60		NhiÖm vô ThÕ giíi: Göi th­ ®Õn Thµnh §«			
61		NhiÖm vô ThÕ giíi: Göi th­ ®Õn Phong Thõa TŞnh			
62		NhiÖm vô ThÕ giíi: Göi th­ ®Õn B¶n Kinh			
63		NhiÖm vô ThÕ giíi: Göi th­ ®Õn Hïng §«ng			
64		NhiÖm vô ThÕ giíi: Xin ¨n ë Phong Thõa TŞnh			
65		NhiÖm vô míi Yung L¹c: NghÜa Lµm §¹i HiÖp			
66		NhiÖm vô míi §¹o H­¬ng: NhiÖm vô kÕt hîp thuèc			
67		NhiÖm vô kÕt h«n			
68		NhiÖm vô míi Chu Tiªn: T×m vßng tay			
69		NhiÖm vô míi Yung L¹c: TruyÒn t×nh			
70		NhiÖm vô míi Yung L¹c: §æi s¸ch			
71		NhiÖm vô míi §¹o H­¬ng: T« Chó			
72		NhiÖm vô míi Chu Tiªn: Tin nh¾n			
73		NhiÖm vô míi §¹o H­¬ng: TiÓu Long			
74		NhiÖm vô míi Chu Tiªn: L·o Chu			
75		NhiÖm vô míi (QuyÒn Khuynh Thiªn)			
76		NhiÖm vô míi (Ngùa Danh Môc Ch¸y)			
77					
78		NhiÖm vô Röa Tay B»ng Bån Vµng			
79		NhiÖm vô Röa Tay B»ng Bån Vµng			
80		Thªm Sè LÇn Thªm Kü N¨ng			
81		Thªm Sè LÇn Thªm TiÒm N¨ng			
82		Sö Dông Kü N¨ng "TiÕt La Hµn" Sè LÇn			
83					
84					
85					
86		Ghi §iÓm Th­ëng NhiÖm Vô 1			
87		Ghi §iÓm Th­ëng NhiÖm Vô 2			
88		Ghi §iÓm Th­ëng NhiÖm Vô 3			
89					
90					
91					
92		NhiÖm Vô Röa TiÒm N¨ng			
93		NhiÖm Vô Röa PK (L­u Täa §é Vµo C¶nh)			
94		NhiÖm Vô Röa PK L­u Bé §Õm Thêi Gian Ban §Çu			
95		NhiÖm Vô Röa PK L­u Bé §Õm Thêi Gian Ban §Çu			
96		NhiÖm Vô Tù Thó Röa PK			
97		Mua DÊu HiÖu Ngùa CÊp 80			
98		DÊu HiÖu §¸ Quı			
99		DÊu HiÖu Bang Ph¸i			
100		Danh TiÕng Giang Hå (T¹m Thêi)	1		
121		NhiÖm Vô CÊp 90 ThÇn V­¬ng			
122		NhiÖm Vô CÊp 90 ThiÕu L©m			
123		NhiÖm Vô CÊp 90 §­êng M«n			
124		NhiÖm Vô CÊp 90 Ngò §éc			
125		NhiÖm Vô CÊp 90 Nga Mi			
126		NhiÖm Vô CÊp 90 Thóy Yªn			
127		NhiÖm Vô CÊp 90 Thiªn NhÉn			
128		NhiÖm Vô CÊp 90 §¹i Bµng			
129		NhiÖm Vô CÊp 90 Vâ §ang			
130		NhiÖm Vô CÊp 90 KhÈn Lu©n			
131		NhiÖm Vô Thu ThËp Kho¸ng S¶n			
132		NhiÖm vô Thu thËp Th¶o d­îc			
133		NhiÖm vô Thu thËp Kho¸ng s¶n			
134		NhiÖm vô ThiÕu L©m cÊp 90: Ng­êi Bİ Èn			
135		L­u Tr¹ng th¸i Treo m¸y			
136		Thêi gian cßn l¹i ®Ó Treo m¸y NhËn Kinh nghiÖm			
137		§· CËp nhËt Kü n¨ng ch­a			
138		§iÓm Kinh nghiÖm tİch lòy tõ viÖc ¡n b¸nh Zongzi			
139		Thêi gian ¡n b¸nh Zongzi			
140		Thêi gian Rêi ®¶o			
141		NhËn Quµ nhá sau 72 Giê Trùc tuyÕn			
142		Sù kiÖn Liªn kÕt Thiªn hµ			
143		Ghi chó Phiªn b¶n miÔn phİ §iÓm Kü n¨ng			
144		Phiªn b¶n míi cña Chøc n¨ng Reset Kü n¨ng			
145		Phiªn b¶n míi cña Chøc n¨ng Reset Kü n¨ng			
150		Dïng cho NhiÖm vô §¶o Tiªu Tö			
151		BiÕn thÓ HÖ thèng Phóc vËn 1	1		
152		BiÕn thÓ HÖ thèng Phóc vËn 2			
153		BiÕn thÓ HÖ thèng Phóc vËn 3			
154		BiÕn thÓ HÖ thèng Phóc vËn 4			
155		BiÕn thÓ HÖ thèng Phóc vËn 5			
156		C¶nh b¸o Khi xãa Trang bŞ			
157		Sù kiÖn Liªn kÕt Thiªn hµ "Ng­êi S­u tÇm"			

160		Sù kiÖn ThÊt TŞch			

170		Thêi gian Ph¹t Sö dông Tr¸i phĞp PhÇn mÒm			
180		BiÕn thÓ NhiÖm vô PhÇn th­ëng Gi¸o dôc 1			
181		BiÕn thÓ NhiÖm vô PhÇn th­ëng Gi¸o dôc 2			
182		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Gi¸o Dôc 3			
183		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Chİnh Ph¸i 1			
184		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Chİnh Ph¸i 2			
185		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Chİnh Ph¸i 3			
186		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Trung LËp 1			
187		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Trung LËp 2			
188		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Trung LËp 3			
189		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Tµ Ph¸i 1			
190		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Tµ Ph¸i 2			
191		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Tµ Ph¸i 3			
192		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Hç Trî Chİnh Ph¸i			
193		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Hç Trî Trung LËp			
194		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Hç Trî Tµ Ph¸i			
195		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Hç Trî			
196		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Toµn Bé Chİnh Ph¸i			
197		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Toµn Bé Trung LËp			
198		BiÕn ThÓ NhiÖm Vô PhÇn Th­ëng Toµn Bé Tµ Ph¸i			
199		BiÕn ThÓ NhiÖm Vô §Õm Sè Qu¸i VËt Chİnh Ph¸i			

204		L­u Tr¹ng th¸i §iÓm Sèng Míi			
205		L­u Tr¹ng th¸i §iÓm Sèng Míi			
210	219	Thµnh phè Tr¹m 1 ®Õn 20			
220		ID NhiÖm vô Thêi Gian			
221		Thêi Gian Cßn L¹i Cña NhiÖm Vô Thêi Gian			
228		Thuéc Tİnh ChiÕn §Êu Cña Phe Thø 6 (GM)			
230		BiÕn ThÓ ChiÕn Tr­êng Song Kim			
231		BiÕn ThÓ ChiÕn Tr­êng Song Kim			
232		BiÕn ThÓ ChiÕn Tr­êng Song Kim			
233		BiÕn ThÓ ChiÕn Tr­êng Song Kim			
234		BiÕn ThÓ ChiÕn Tr­êng Song Kim			
235		Sè LÇn Th¾ng C¸c TrËn §Êu Cña Ng­êi Ch¬i Trong C¸c Trß Ch¬i ThÓ Thao			
236		Sè LÇn Thua C¸c TrËn §Êu Cña Ng­êi Ch¬i Trong C¸c Trß Ch¬i ThÓ Thao			
240		Ghi NhËn Tæng Sè LÇn PK Cña Ng­êi Ch¬i Trong ChiÕn Tr­êng CS_PK			
241		Ghi NhËn Tæng Sè LÇn ChÕt Cña Ng­êi Ch¬i Trong ChiÕn Tr­êng CS_PK			
250		Ghi NhËn Tæng Sè LÇn PK Cña Ng­êi Ch¬i Trong C¸c Lo¹i TrËn §Êu			
251		Ghi NhËn Tæng Sè LÇn ChÕt Cña Ng­êi Ch¬i Trong C¸c Lo¹i TrËn §Êu			
258					

201	400	Qu¶n lı Nhãm Ch­¬ng Tr×nh			
401	600	HÖ Thèng Chuçi NhiÖm Vô			
500		Sù KiÖn LÔ TÕt			
501		Sù KiÖn LÔ TÕt			
502		Sù KiÖn LÔ TÕt			
503		Sù KiÖn LÔ TÕt			
601		(Tr¹ng th¸i Trèng)			
602		Tr¹ng th¸i Ghi NhËt Kı Ng­êi Ch¬i			
605		§¸nh DÊu Tr¹ng Th¸i Offline Trùc TiÕp			
606		Thêi Gian NhËn Th­ëng Cña Ng­êi Ch¬i NhËn PhÇn Th­ëng ThiÖn H¹nh			
610		§¸nh DÊu ChuyÓn DŞch Dµnh Cho DŞch Vô T¹i §µi Loan			
611		Ghi NhËn Ng­êi Ch¬i Hoµn Thµnh Cuéc Trß ChuyÖn Víi Quan Ng÷ T¹i CÊp §é 10 Trong Ho¹t §éng Ng­êi Ch¬i Míi T¹i §µi Loan			
612		Sù KiÖn TÆng Ngùa CÊp 20 T¹i Malaysia			
615		BiÕn ThÓ NhiÖm Vô C©y Th«ng Gi¸ng Sinh Cña Sù KiÖn Trùc TuyÕn Th¸ng 12			
616					
620	650	BiÕn ThÓ NhiÖm Vô Toµn S©n Thi §Êu			
700		B¸nh Trung Thu TÆng NguyÖt			
701		B¸nh Trung Thu TÆng Cèng			
702	800	BiÕn ThÓ TrËn §Êu ChiÕn Tranh Song Kim			
711	752	BiÕn ThÓ TrËn §Êu ChiÕn Tranh Song Kim			
747		§iÓm Tİch Lòy TrËn §Êu ChiÕn Tranh Song Kim	1		
760		§Òn Bï Kinh NghiÖm Khu Vùc 1-2 Cho Th¸ng 1 N¨m 2006			
801	850	Héi Kú Wulin LÇn Thø Hai			
1000		NhiÖm Vô Gi¸o Dôc			
1001		NhiÖm Vô Chİnh Ph¸i			
1002		NhiÖm Vô Trung LËp			
1003		NhiÖm Vô Chİnh Ph¸i Xa			
1004	1010	Chuyªn Dông BiÕn ThÓ BiÕn Sè NhiÖm Vô Nhãm KÕ Ho¹ch			
1011		BiÕn ThÓ Tham Sè NhiÖm Vô S¸t Qu¸i Chİnh Ph¸i			
1012		BiÕn ThÓ Tham Sè NhiÖm Vô S¸t Qu¸i Trung LËp			
1013		BiÕn ThÓ Tham Sè NhiÖm Vô S¸t Qu¸i Xa Ph¸i			
1014		Ghi NhËn Ng­êi Ch¬i §· Nãi ChuyÖn Víi Long Ngò Ch­a			
1015		Ghi NhËn Kh¶ N¨ng Hoµn Thµnh NhiÖm Vô Song Kim Cña Ng­êi Ch¬i			
1016		Ghi NhËn Thêi Gian §æi Kinh NghiÖm B»ng Song Kim Cña Ng­êi Ch¬i			
1017		Ghi NhËn §iÓm Cña Ng­êi Ch¬i §· Dïng §Ó §æi Kinh NghiÖm B»ng Song Kim			
1018		Ghi NhËn Sè LÇn ChiÕn Th¾ng T¹i §Êu Tr­êng §èi §Êu			
1019		Ghi NhËn Sè LÇn Thùc HiÖn Chuçi NhiÖm Vô			
1020		BiÕn Tæng Hîp NhiÖm Vô Ng­êi Th«n			
1021		BiÕn ID NhiÖm Vô Ng­êi Th«n §ang Thùc HiÖn			
1022		BiÕn Lo¹i NhiÖm Vô Ng­êi Th«n Lo¹i 1			
1023		BiÕn Lo¹i NhiÖm Vô Ng­êi Th«n Lo¹i 2			
1024		BiÕn Lo¹i NhiÖm Vô Ng­êi Th«n Lo¹i 3			
1025		BiÕn Lo¹i NhiÖm Vô Ng­êi Th«n Lo¹i 4			
1026		BiÕn Lo¹i NhiÖm Vô Ng­êi Th«n Lo¹i 5			
1027		BiÕn Lo¹i NhiÖm Vô Ng­êi Th«n Lo¹i 6			
1028		BiÕn Tr¹ng Th¸i §ang Thùc HiÖn NhiÖm Vô			
1029		BiÕn L­u Tr÷ Thêi Gian Trùc TuyÕn Cña Ng­êi Ch¬i			
1030		BiÕn Dßng T­¬ng øng Cña B¶ng D÷ LiÖu §ang Thùc HiÖn NhiÖm Vô			
1031		BiÕn ID B¶n §å Trong NhiÖm Vô Thu ThËp Lo¹i 4			
1032		BiÕn Lo¹i B¶n §å Vµ Sè L­îng CÇn Thu ThËp Trong NhiÖm Vô Thu ThËp Lo¹i 4			
1033		BiÕn L­u Tr÷ CÊp §é Cña Ng­êi Ch¬i Tr­íc Khi Lªn CÊp			
1034		BiÕn L­u Tr÷ Kinh NghiÖm Cña Ng­êi Ch¬i Tr­íc Khi Lªn CÊp			
1035		BiÕn L­u Tr÷ Sè LÇn Thùc HiÖn Chuçi NhiÖm Vô T­¬ng øng			
1036		BiÕn L­u Tr÷ Sè LÇn Hñy NhiÖm Vô Khi Ch­a Cã §iÒu KiÖn			
1037		Ghi NhËn Thêi Gian Trùc TuyÕn Cña Ng­êi Ch¬i §Ó Ng¨n Ng­êi Ch¬i KhiÓn NgÉu Høng Ghi NhËn M· X¸c SuÊt			
1038		BiÕn Ghi NhËn PhÇn Tö Cuéc Trß ChuyÖn NhiÖm Vô 1			
1039		BiÕn Ghi NhËn PhÇn Tö Cuéc Trß ChuyÖn NhiÖm Vô 2			
1040		BiÕn Ghi NhËn PhÇn Tö Cuéc Trß ChuyÖn NhiÖm Vô 3			
1041		BiÕn Ghi NhËn PhÇn Tö Cuéc Trß ChuyÖn NhiÖm Vô 4			
1042		BiÕn Ghi NhËn PhÇn Tö Cuéc Trß ChuyÖn NhiÖm Vô 5			
1043		BiÕn Ghi NhËn PhÇn Tö Cuéc Trß ChuyÖn NhiÖm Vô 6			
1044		BiÕn Dïng §Ó Ghi NhËn Sè L­îng Tæng Céng Trong Chuçi NhiÖm Vô (HiÓn ThŞ Thø H¹ng)			
1045		BiÕn Ng¨n Ng­êi Ch¬i Huû NhiÖm Vô Chuçi NhiÖm Vô Ng­êi Th«n Sö Dông NhiÒu LÇn			
1046		BiÕn L­u Tr÷ Sè LÇn NhiÖm Vô Cã ThÓ Huû Cña Ng­êi Ch¬i Cßn L¹i			
1050		NhiÖm Vô Chİnh Ph¸i 20-30 CÊp Hç Trî			
1051		NhiÖm Vô Chİnh Ph¸i 30-40 CÊp Hç Trî			
1052		NhiÖm Vô Chİnh Ph¸i 40-50 CÊp Hç Trî			
1053		NhiÖm Vô Chİnh Ph¸i 50-60 CÊp Hç Trî			
1054		NhiÖm Vô Trung LËp 20-30 CÊp Hç Trî			
1055		NhiÖm Vô Trung LËp 30-40 CÊp Hç Trî			
1056		NhiÖm Vô Trung LËp 40-50 CÊp Hç Trî			
1057		NhiÖm Vô Trung LËp 50-60 CÊp Hç Trî			
1058		NhiÖm Vô Xa Ph¸i 20-30 CÊp Hç Trî			
1059		NhiÖm Vô Xa Ph¸i 30-40 CÊp Hç Trî			
1060		NhiÖm Vô Xa Ph¸i 40-50 CÊp Hç Trî			
1061		NhiÖm Vô Xa Ph¸i 50-60 CÊp Hç Trî			
1062		BiÕn §Õm Sè Qu¸i Trung LËp			
1063		BiÕn §Õm Sè Qu¸i Xa Ph¸i			
1064		NhiÖm Vô §¶o Kim S¬n ThŞ TrÊn T©y S¬n			
1065		BiÕn §Õm Sè LÇn Thu ThËp ThŞt T­¬i			
1066		BiÕn NhiÖm Vô Thu ThËp ThŞt T­¬i			
1067		BiÕn Xãa Kü N¨ng Ngò Hµnh Míi Ng­êi Ch¬i			
1068		BiÕn Ghi NhËn Th­ëng Anh Hïng Cña Lµng Cïng D­íi			
1069		BiÕn Ghi NhËn Sè LÇn Th­ëng Anh Hïng Cña Lµng Cïng D­íi			
1070		Ghi NhËn Sè LÇn ChiÕn Th¾ng T¹i §Êu Tr­êng §èi §Êu			
1071		Ghi NhËn Sè LÇn ThÊt B¹i T¹i §Êu Tr­êng §èi §Êu			
1072		Ghi NhËn Sè LÇn ChiÕn Th¾ng T¹i ChiÕn Tr­êng Ch©u S¬n Kim			
1073		Ghi NhËn Sè LÇn ThÊt B¹i T¹i ChiÕn Tr­êng Ch©u S¬n Kim			
1074		Ghi NhËn Sè LÇn Nép ThÎ Th­ëng Anh Hïng			
1075		Ghi NhËn Thêi Gian Trùc TuyÕn Khi Ng­êi Ch¬i Vµo Game			
1076		Ghi NhËn Tæng Thêi Gian Trùc TuyÕn Trong Game Khi Ng­êi Ch¬i Vµo Game			
1080		BiÕn NhiÖm Vô §ua Top T¹i Mèc CÊp			
1081		BiÕn NhiÖm Vô §ua Top §¹t CÊp 80			
1082		BiÕn NhiÖm Vô KÎ S¸t Boss			
1083		Vßng Lo¹i Thi §Êu Toµn Khu Toµn M¸y TrËn Hµ Néi			
1084		Vßng Lo¹i Thi §Êu Toµn Khu Toµn M¸y TrËn Hµ Néi			
1085		Vßng Lo¹i Thi §Êu Toµn Khu Toµn M¸y TrËn Hµ Néi			
1086		Vßng Lo¹i Thi §Êu Toµn Khu Toµn M¸y TrËn Hµ Néi			
1087		Vßng Lo¹i Thi §Êu Toµn Khu Toµn M¸y TrËn Hµ Néi			
1088		Vßng Lo¹i Thi §Êu Toµn Khu Toµn M¸y TrËn Hµ Néi			
1089		Vßng Lo¹i Thi §Êu Toµn Khu Toµn M¸y TrËn Hµ Néi			
1090		Vßng Lo¹i Thi §Êu Toµn Khu Toµn M¸y TrËn Hµ Néi			
1091		Vßng Lo¹i Thi §Êu Toµn Khu Toµn M¸y TrËn Hµ Néi			
1092		Vßng Lo¹i Thi §Êu Toµn Khu Toµn M¸y TrËn Hµ Néi			
1093		Vßng Lo¹i Thi §Êu Toµn Khu Toµn M¸y TrËn Hµ Néi			
1094		Vßng Chung KÕt §Êu TrËn Toµn Khu Toµn M¸y TrËn Hµ Néi (T¸i Sö Dông Cïng ı NghÜa Víi Vßng Lo¹i)			
1095		Vßng Míi Næi Cña Gi¶i §Êu Vâ L©m			
1096		Vßng Míi Næi Cña Gi¶i §Êu Vâ L©m			
1097		Vßng Míi Næi Cña Gi¶i §Êu Vâ L©m			
1098		Vßng Míi Næi Cña Gi¶i §Êu Vâ L©m			
1099		Vßng Míi Næi Cña Gi¶i §Êu Vâ L©m			
1100		Vßng Míi Næi Cña Gi¶i §Êu Vâ L©m			
1101		Vßng Míi Næi Cña Gi¶i §Êu Vâ L©m			
1102		Vßng Míi Næi Cña Gi¶i §Êu Vâ L©m			
1103		Vßng Míi Næi Cña Gi¶i §Êu Vâ L©m			
1104		Vßng Míi Næi Cña Gi¶i §Êu Vâ L©m			
1105		Vßng Míi Næi Cña Gi¶i §Êu Vâ L©m			

1090		Vßng Chung KÕt Gi¶i §Êu Vâ L©m Toµn Khu Toµn M¸y TrËn Hµ Néi (T¸i Sö Dông Cïng ı NghÜa Víi Vßng Lo¹i)			
1094		Vßng Chung KÕt Gi¶i §Êu Vâ L©m Toµn Khu Toµn M¸y TrËn Hµ Néi (T¸i Sö Dông Cïng ı NghÜa Víi Vßng Lo¹i)			
1095		Vßng Chung KÕt Gi¶i §Êu Vâ L©m Toµn Khu Toµn M¸y TrËn Hµ Néi (T¸i Sö Dông Cïng ı NghÜa Víi Vßng Lo¹i)			
1096		Vßng Chung KÕt Gi¶i §Êu Vâ L©m Toµn Khu Toµn M¸y TrËn Hµ Néi (T¸i Sö Dông Cïng ı NghÜa Víi Vßng Lo¹i)			
1097		Vßng Chung KÕt Gi¶i §Êu Vâ L©m Toµn Khu Toµn M¸y TrËn Hµ Néi (T¸i Sö Dông Cïng ı NghÜa Víi Vßng Lo¹i)			
1098		Vßng Chung KÕt Gi¶i §Êu Vâ L©m Toµn Khu Toµn M¸y TrËn Hµ Néi (T¸i Sö Dông Cïng ı NghÜa Víi Vßng Lo¹i)			
1099					
1100					

1111		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1112		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1113		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1114		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1115		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1116		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1117		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1118		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1119		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1120		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1121		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1122		PhÇn Th­ëng Chung KÕt Gi¶i §Êu Vâ L©m			
1123		L­u Tr÷ ID B¶n §å Minh NguyÖt ThŞ TrÊn			
1124		L­u Tr÷ Täa §é X Khi Rêi Trß Ch¬i			
1125		L­u Tr÷ Täa §é Y Khi Rêi Trß Ch¬i			
1126		Ghi NhËn Ngµy Nµo §ã			
1127		Ghi NhËn Sè LÇn Ch¬i Trong Ngµy			
1128		Ghi NhËn Sè LÇn Chän Trong Mçi LÇn Ch¬i			
1129		Ghi NhËn XÕp H¹ng Mét TrËn			
1130		Ghi NhËn Nhãm Cña Ng­êi Ch¬i			
1131		XÕp L¹i Sè Kinh NghiÖm			
1132		Thêi Gian NhËn §­îc GÊp §«i			
1133					
1134					
1083	1182	Gi¶i §Êu Vâ L©m Toµn Khu Toµn M¸y			
1183		Cuéc Thi Lªn CÊp T¹i ViÖt Nam			
1184		Cuéc Thi Lªn CÊp T¹i ViÖt Nam			
1185		Monster ChiÕm LÜnh Thµnh			
1186		Monster ChiÕm LÜnh Thµnh			
1187		Monster ChiÕm LÜnh Thµnh			
1188		Monster ChiÕm LÜnh Thµnh			
1189		Monster ChiÕm LÜnh Thµnh			
1190		N¹p L¹i Trang BŞ Vµng ë ViÖt Nam			
1191		N¹p L¹i Trang BŞ Vµng ë ViÖt Nam			
1200		Chuyªn Dông BiÕn NhiÖm Vô Hîp NhÊt (Wang Bin)			
1201		BiÕn NhiÖm Vô Göi Th­ NhiÖm Vô Ngùa Sãi Giã			
1202		BiÕn NhiÖm Vô Göi Th­ NhiÖm Vô §Òn Sãng			
1203		BiÕn NhiÖm Vô Göi Th­ NhiÖm Vô Ngµn B¶o Khè			
1204		BiÕn NhiÖm Vô Göi Th­ NhiÖm Vô §Şa §iÓm			
1205		§iÓm Tİch Lòy Cña Ng­êi Göi Th­			
1206		Danh HiÖu Ng­êi Göi Th­			
1207		Bé §Õm Sè Qu¸i S¸t Nh©n Trong NhiÖm Vô Göi Th­			
1208		Bé §Õm Sè Qu¸i S¸t Nh©n Trong NhiÖm Vô Ngùa Sãi Giã			
1209		Bé §Õm Sè Qu¸i S¸t Nh©n Trong NhiÖm Vô §Òn Sãng			
