TaskID	MapID	TaskInfo1	Num	MapType	TaskValue1	TaskValue2	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20
90018	1014	MU - VIP 7	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90019	1015	MU - VIP 8	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90020	1016	MU - VIP 9	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90021	1017	MU - VIP 10	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90022	1018	MU - VIP 11	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90023	1019	MU - VIP 12	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90024	1020	MU - VIP 13	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90025	1021	MU - VIP 14	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90026	1022	MU - VIP 15	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90027	1023	MU - VIP 16	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90028	1024	MU - VIP 17	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90029	1025	MU - VIP 18	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90030	1026	MU - VIP 19	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90031	1027	MU - VIP 20	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90032	1028	MU - VIP 21	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90033	1029	MU - VIP 22	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90034	1030	MU - VIP 23	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90035	1031	MU - VIP 24	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90036	1032	MU - VIP 25	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90037	1033	MU - VIP 26	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90038	1034	MU - VIP 27	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90039	1035	MU - VIP 28	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90040	1036	MU - VIP 29	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90041	1037	MU - VIP 30	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90042	1038	MU - VIP 31	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90043	1039	MU - VIP 32	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90044	1040	MU - VIP 33	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90045	1041	MU - VIP 34	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90046	1042	MU - VIP 35	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90047	1043	MU - VIP 36	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90048	1044	MU - VIP 37	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90049	1045	MU - VIP 38	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90050	1046	MU - VIP 39	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90051	1047	MU - VIP 40	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90052	1049	5x-DiÔn Vâ tr­êng 2	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90053	1050	5x-DiÔn Vâ tr­êng 3	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90054	1051	5x-DiÔn Vâ tr­êng 4	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90055	1052	6x-An Kú Liªn §¬n §éng 2	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90056	1053	6x-An Kú Liªn §¬n §éng 3	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90057	1054	6x-An Kú Liªn §¬n §éng 4	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90058	1055	7x-NguyÖt Ca MËt Cèc 2	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90059	1056	7x-NguyÖt Ca MËt Cèc 3	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90060	1057	7x-NguyÖt Ca MËt Cèc 4	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90061	1058	7x-NguyÖt Ca MËt Cèc 5	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90062	1059	7x-NguyÖt Ca MËt Cèc 6	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90063	1060	8x-¸c Lang Cèc 2	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90064	1061	8x-¸c Lang Cèc 3	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90065	1062	9x-TuyÕt B¸o ®éng 2	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90066	1063	9x-TuyÕt B¸o ®éng 3	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90067	1064	9x-Cöu Ch©u Cèc 2	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90068	1065	9x-Cöu Ch©u Cèc 3	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90069	1066	MU - VIP 41	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90070	1067	MU - VIP 42	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90071	1068	MU - VIP 43	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90072	1069	MU - VIP 44	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90073	1070	MU - VIP 45	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90074	1071	MU - VIP 46	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90075	1072	MU - VIP 47	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90076	1073	MU - VIP 48	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90077	1074	MU - VIP 49	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90078	1075	MU - VIP 50	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90079	1076	MU - VIP 51	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90080	1077	MU - VIP 52	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90081	1078	MU - VIP 53	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90082	1079	MU - VIP 54	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90083	1080	MU - VIP 55	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90084	1081	MU - VIP 56	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90085	1082	MU - VIP 57	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90086	1083	MU - VIP 58	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90087	1084	MU - VIP 59	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90088	1085	MU - VIP 60	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90089	1086	MU - VIP 61	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90090	1087	MU - VIP 62	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90091	1088	MU - VIP 63	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90092	1089	MU - VIP 64	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90093	1090	MU - VIP 65	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90094	1091	MU - VIP 66	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90095	1092	MU - VIP 67	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90096	1093	MU - VIP 68	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90097	1094	MU - VIP 69	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90098	1095	MU - VIP 70	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90099	1096	MU - VIP 71	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90100	1097	MU - VIP 72	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90101	1098	MU - VIP 73	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90102	1099	MU - VIP 74	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90103	1100	MU - VIP 75	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90104	1101	MU - VIP 76	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90105	1102	MU - VIP 77	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90106	1103	MU - VIP 78	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90107	1104	MU - VIP 79	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
90108	1105	MU - VIP 80	15	2	0	24000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900	
