Name	TransLife	CurrentLevel	CurrentExp	CurrentExpPercent
5656fgwaa	5	150	0	0
as1a1s111	5	150	0	0
ÙÙAÙKayÙÙ	4	191	63.876276293	99
12d12d2d12d	5	150	0	0
V«ÙDanhÙKh¸chÙ3	5	150	0.041566013	0
1112asqw12	5	150	0	0
V«ÙDanhÙKh¸chÙ1	5	150	0.046581477	0
TiÓuÙCB	4	166	17.548850055	54
bnmnm6t7	5	150	0	0
asffsdfsvsv	5	150	0	0
tkuykuyhgf	5	150	0	0
rgeg4554435	5	150	0	0
HTÙTheKing	5	150	0.000317496	0
2222222	5	150	0	0
LongC¬B¾p	4	189	5.488000618	9
CaiBangÙ	5	151	25.019254504	78
TNDaoVCL	5	161	42.424914597	73
23423424423423	5	150	0	0
8787797	5	150	0	0
12312wed	5	150	0	0
ExcavatorÙVD	4	150	0	0
LadyKiller	5	150	4.626743401	18
567656765	5	150	0	0
dddddwwww	5	150	0	0
HJKHKHJKH	5	150	0	0
dfgdfgd	5	150	0	0
asfqwrfa	5	150	0	0
TieuLyPhiDao	5	180	0	0
dfgdfgdf	5	150	0	0
o0oNgaMyo0o	5	150	0	0
q­qwqeqwe	5	150	0	0
SiªuNh©nVµng	5	153	0.840325611	3
KiÕm§åMaxx409	5	150	0	0
KiÕm§åMaxx407	5	150	0	0
KiÕm§åMaxx408	5	150	0	0
KiÕm§åMaxx405	5	150	0	0
KiÕm§åMaxx406	5	150	0	0
KiÕm§åMaxx403	5	150	0	0
qwewewewe	5	150	0	0
NDsoloQ	4	150	0.20025253	1
q­eeqwrwerwe	5	150	0	0
trhtteeer	5	150	0	0
6757567	5	150	0	0
jfftjfj	5	150	0	0
uttsrsr	5	150	0	0
12313wqweqw	5	150	0	0
KenÙThiÕuÙGiaÙÙ	5	163	1.64219481	2
I®èLèpCèp	5	176	41.363483944	46
567765757	5	150	0	0
2343424324qwe	5	150	0	0
ThikBopDik	5	150	0	0
CånÙDaÙL¹p	5	180	0	0
§anÙTr­êng	5	180	25.0065	56
C«ÙHai	5	180	0.2	0
NĞÙTaoÙRaÙ1	5	150	0.181553771	0
33sdsd6sd6	5	150	0	0
gfhjgfjhgfj	5	150	0	0
WaphaÙ110	5	180	19.008062116	43
ytkfyutfk	5	150	0	0
12312312312	5	150	0	0
2131qasasd	5	150	0	0
Moc5DC	4	185	14.056255547	24
FGHFGHF	5	150	0	0
HéCËnNghÌo	5	191	98.319211416	76
dfgdfgfg	5	150	0	0
qedqadada	5	150	0	0
123qwea12	5	150	0	0
FGHFGH1	5	150	0	0
erwwwwwwwwwwww	5	150	0	0
NmHieub54	5	157	10.517868523	32
SGÙBattle	0	150	0	0
Thanhduy	5	150	0	0
xcfgre345sdf3	5	150	0	0
2342432	5	150	0	0
q­qfeqfe	5	150	0	0
DuongPhiKhanh	5	180	4e-09	0
TomEndJerry	5	150	0	0
reshershe	5	150	0	0
72ÙNMC	5	150	25.49463496	79
45645654654	5	150	0	0
Tr¶ÙSŞpÙTaoÙVÒ	4	150	0.521523462	4
TiÓuÙ§éc	4	190	49.009645647	76
deonapcard	5	150	1.4e-08	0
LayÙDo	4	189	55.402963463	96
xeDPK1	5	180	0	0
xeDPK2	5	180	1.1e-08	0
TiÒn§ångKhãa1	4	191	23.24278154	36
TiÒn§ångKhãa0	4	190	61.034343054	95
TiÒn§ångKhãa3	4	185	14.25	24
TiÒn§ångKhãa2	4	195	53.38712412	75
2342424242342	5	150	0	0
345345345	5	150	0	0
qdfafasfas	5	150	0	0
ÙTûPhóÙTiÒnGi¶Ù	5	162	54.627732223	94
zNHCzH¾cLong	5	180	11.199925737	25
BĞÙPhôÙHå	5	162	36.722368131	63
ExcavatorÙTL	4	150	0	0
qweqweqwqeqw	5	150	0	0
6a5sd656asd5	5	150	0	0
ExcavatorÙTN	4	150	0	0
resyhreh	5	150	0	0
yuglyglig	5	150	0	0
1223sed234sd	5	150	0	0
gfhghgfhgf	5	150	0	0
6dasdas	5	150	0	0
ascac1	5	150	0	0
gliyglgy	5	150	0	0
dsdsds	5	150	0	0
qreqrerqwer3	5	150	0	0
ÙA§ÙÙÙ	5	168	25.590061874	39
sdsdfsdf	5	150	0	0
ÙS¨nÙLamÙ	5	150	25.998003281	81
555555555hr	5	150	0	0
ÙÙÙ1ÙÙÙ	5	171	48.641300953	63
gregffd	5	150	0	0
TestChuyenPhai	5	180	0	0
Flaming	5	180	0.500010035	0
ddsfsdfscll	5	152	13.068333344	40
NgòÙ§éc	5	180	0	0
qweqw555	5	150	0	0
werwefsdf33	5	150	0	0
dsfdsfsdf	5	150	0	0
ioooooooooo	5	150	0	0
ÙL­¬ngÙBİchÙH÷u	5	180	12.987734391	12
21sadadad	5	150	0	0
tllllllllll	3	150	1.999784554	31
ToanVDQ	5	150	30.034000242	93
s5df5s5df51	5	150	0	0
zNHCzCuongNG	5	180	1.537e-05	0
fghhfghfg	5	150	0	0
qwqwqwqw	5	150	0	0
TNDHeHoa	4	150	0.00117439	0
o0oCaiBango0o	5	150	0	0
h66y6u6y5	5	150	0	0
CµÙ¤ngÙGiÆtÙ002	5	180	0	0
CµÙ¤ngÙGiÆtÙ003	5	180	0	0
TesetDM	5	2010	0	0
TiªnKiÕm2	5	150	0	0
PhongKa	5	150	0.005398837	0
TiªnKiÕm3	5	150	5e-09	0
ThienLam01	5	159	26.709944853	69
iiiLangTuyet	5	180	0.000112175	0
hrtr55	5	150	0	0
ÙPK10Ù	4	150	2e-09	0
a54sd55asd	5	150	0	0
§écBéThiªnH¹ÙZ1	5	180	6.501191332	6
1231312313	5	150	0	0
23442424	5	150	0	0
RFFGFGD	5	150	0	0
ghjhjh	5	150	0	0
ThiªnH­¬ng	4	150	0	0
rsehtrdhj	5	150	0	0
­erfwefwsfsf	5	150	0	0
qweqweqwqe	5	150	0	0
BóngCu100C¸i	5	180	13.016884015	12
nmmmmmmmmmm	4	150	0.000246207	0
345345353453r3r	5	150	0	0
LuciLife	4	150	0.001241752	0
kosogihet	0	150	1e-09	0
MíiÙTËpÙCh¬i	5	150	3.22067628	12
wqerqrqwr	5	150	0	0
432424242	5	150	0	0
1m72Ù18cm2	4	191	63.466465144	99
1m72Ù18cm3	4	191	39.811088768	62
ftkykutk	5	150	0	0
3434sd123wsd	5	150	0	0
CËuÙT­	5	180	0.2	0
LOLÙDiÖpÙChã§iªn	5	165	2.005	3
QuûÙKiÕmÙSÇu	5	152	26.007734887	81
qweqweqweww	5	150	0	0
DİnhÙ§écÙNãÙBanh	5	190	2.318e-06	0
fsfsfs	5	150	0	0
9s9s66a	5	150	0	0
BÇuÙNM3	5	190	45.000005917	86
HïngKen	5	180	1.000418604	0
43543tfsdf3xdc	5	150	0	0
hgjghjhgjhgj	5	150	0	0
loveTN	5	171	42.845990074	55
AnhÙHaiÙTVC	5	151	21.016105356	65
CauBang	5	150	0.001	0
Thanhnuluanhoi	0	150	0	0
DFGDFGDF	5	150	0	0
BTÙChiÕnThÇn	5	180	37.76688906	36
jkhkjhkj	5	150	0	0
q­eqweqweqwe	5	150	0	0
HuyÒnTr©n	5	165	33.184229092	51
ThaoÙThiÕt	5	150	0	0
yyyyyyyyyr6	5	150	0	0
GaÙTre	5	150	0	0
ewfewfggg	5	150	0	0
JxÙTest	5	181	25.537517346	58
V«ÙNhaiÙTö	5	161	41.389	71
23432424324	5	150	0	0
LöaÙChïa	4	150	0	0
BlackCat	5	150	0.000500592	0
”•…ThuıÄH¹nh…•”Ù	5	2200	0	0
4124124124	5	150	0	0
VODANGQUYEN	5	180	5.101154865	4
654©ga456g4	5	150	0	0
TigerÙNMÙ3	5	150	0	0
­qeqweqdadf	5	150	0	0
0oÙHDKÙ2Ùo0	5	158	25.000625036	65
ghtrhrgrger	5	150	0	0
dsadas4343	5	150	0	0
jkjkjhk	5	150	0	0
fdgdfgdfg1	5	150	0	0
a5s6d4	5	150	0	0
qdfefwefwe	5	150	0	0
Ng­êiÙ§ÑpÙLÎÙLoi	5	150	2.101500629	8
jkhjhqweqe	5	150	0	0
TieuphongKa	5	150	4e-09	0
ThuyNMC	4	185	14.05610822	24
1231213131	5	150	0	0
qweqweqe	5	150	0	0
ThienHa	5	152	13.428258809	52
yulgiulih	5	150	0	0
dfgdgddfg	5	150	0	0
ChiÕnThµnAds	5	180	35.187387452	34
TiÓuT×nhNh©n	4	150	0.200392244	1
LastÙGaming	5	161	40.580000048	70
GHJGHJGHJ	5	150	0	0
QaiÙÙThai	5	172	65.20370610499999	84
qfwfsdfsdfs	5	150	0	0
GHJGHJGHH	5	150	0	0
GHJGHJGHG	5	150	0	0
5y5y5y5htht	5	150	0	0
Catarina	5	150	0.500080767	1
MaNhan	4	150	0.016356635	0
C«G¸iÙ2Like	5	150	0.994504776	3
BXÙH­¬ngÙTh¶o	5	177	14.088928408	15
ChãÙcµy10	5	150	24.002265075	75
ChãÙcµy11	5	151	19.002208094	59
ChãÙcµy12	5	151	4.000002898	12
ChãÙcµy13	5	151	11.000003267	34
ChãÙcµy14	5	151	11.99896524	37
ChãÙcµy15	5	150	14.001598398	43
hjkhkhjkj	5	150	0	0
QaiÙÙThaI	0	150	0	0
thoinaobanoi	5	150	0.000135106	0
1121212	5	150	0	0
34534r34rert	5	150	0	0
qweqweqj	5	150	0	0
VA00007	5	150	8.001746248	25
VA00006	5	150	8.000849762	25
VA00009	5	150	8.001859099000001	25
VA00008	5	150	8.001557658999999	25
TiªuÙViªm	5	150	8.001657292999999	25
VA00001	5	150	8.001499634	25
VA00000	5	150	6.000540642	18
VA00003	5	150	8.001325545	25
12d21d12d	5	150	0	0
345355	5	150	0	0
VA00004	5	150	8.001331449	25
regregrgre	5	150	0	0
LangThang	5	180	0	0
fkuykuyfkf	5	150	0	0
rewewewre	5	150	0	0
wsddsdsd	5	150	0	0
453534535	5	150	0	0
5docccccc	4	150	6.388000000000001e-05	0
q1wqsqs	5	150	0	0
CoBeBeoPhi	5	164	27.14294559	47
12d1d21d	5	150	0	0
234124214	5	150	0	0
sadfafasdf	5	150	0	0
234242434re	5	150	0	0
1ee1dd	5	150	0	0
ChiÕnThÇn	5	191	119.250725545	93
234234424	5	150	0	0
ThaoÙMY	5	172	51.427203121	66
fdsfgsgsdfg	5	150	0	0
BÙCÙSÙ	5	150	10.013135561	39
HoaÙNhuÙNgoc	5	150	0	0
hthtrdjy	5	150	0	0
BóÙCuÙNÌ	4	185	14.42	25
ConLuanPV	5	150	0	0
ThanhÙTó	5	180	1.135011231	1
KiÕm§åMaxx285	5	150	0	0
hghjghj56	5	150	0	0
KiÕm§åMaxx287	5	150	0	0
KiÕm§åMaxx288	5	150	0	0
KiÕm§åMaxx281	5	150	0	0
KiÕm§åMaxx282	5	150	0	0
KiÕm§åMaxx283	5	150	0	0
KiÕm§åMaxx284	5	150	0	0
•••ÙMrÙÄÙSãcÙ•••	5	170	4.380898521	5
KiÕm§åMaxx280	5	150	0	0
54a5sd456	5	150	0	0
dfgdfgdf1	5	150	0	0
MinhKhang	4	150	2.3882e-05	0
MécÙDiÖp	5	150	26.004110545	81
°BµÄ§ÇmGiµ°	5	150	4.803475943	18
dfgdfgdf4	5	150	0	0
TranHai	5	150	0.000512742	0
ChñTr¹iChã	4	165	27.747827753	86
ThaoÙMy	0	150	0	0
¡nÙChayÙNgñÙMÆn	5	151	3.00759997	9
mrzero2222	5	150	0	0
fsdfsfsdasd	5	150	0	0
KiÕm§åMaxx279	5	150	0	0
A00002	4	150	4.541188741	35
A00001	5	151	20.01967426	62
KiÕm§åMaxx276	5	150	0	0
KiÕm§åMaxx275	5	150	0	0
KiÕm§åMaxx278	5	150	0	0
KiÕm§åMaxx277	5	150	0	0
KiÕm§åMaxx272	5	150	0	0
KiÕm§åMaxx271	5	150	0	0
KiÕm§åMaxx274	5	150	0	0
456464646	5	150	0	0
ThÇnÙ§éc	5	151	11.500032271	44
KiÕm§åMaxx270	5	150	0	0
GFHFFGHFG	5	150	0	0
taobangdim	5	150	0	0
NgaMiChuong	5	150	0	0
dffsfsdfsd	5	150	0	0
HångThÊtL¹c	5	154	3.366131373	13
cvbvbdrg	5	150	0	0
A00006	5	190	0.001166415	0
g45fgddd	5	150	0	0
qwdeqweqw	5	150	0	0
CµÙ¤ngÙGiÆtÙ001	0	150	0	0
Sa…Ma…KhaÙ@4	5	150	8.646731443	33
Sa…Ma…KhaÙ@3	5	150	8.646724708000001	33
Sa…Ma…KhaÙ@2	5	150	8.646734156999999	33
SĞtGiËtTªChym	5	180	1.02376535	0
§ÇuÙTr©u	5	182	35.000002601	79
jytjyd	5	150	0	0
jhlkjhl	5	150	0	0
tyjfykt	5	150	0	0
dfgdfgdfg	5	150	0	0
hlhbjlhj	5	150	0	0
3454545sdf	5	150	0	0
BigzMom	4	150	0.000138319	0
…ThÇn•R­îu…	5	180	0	0
dfgdgfgfg45	5	150	0	0
KiÕm§åMaxx299	5	150	0	0
KiÕm§åMaxx298	5	150	0	0
rgregrfgrfg	5	150	0	0
KiÕm§åMaxx296	5	150	0	0
taolaongnoi	5	2200	0	0
TrÎÙTr©uÙ4	5	180	0	0
TVBtvb	5	180	25.199448225	24
KiÕm§åMaxx290	5	150	0	0
uykuykygu	5	150	0	0
sdfsggg	5	150	0	0
KiÕm§åMaxx295	5	150	0	0
KiÕm§åMaxx294	5	150	0	0
KiÕm§åMaxx293	5	150	0	0
KiÕm§åMaxx292	5	150	0	0
ConÙLon	5	158	15.02956426	46
AoVclNhi	5	150	4e-09	0
q­eqqeer3	5	150	0	0
g45gdgd	5	184	30.4	29
wsfwsfsd	5	150	0	0
TrÎÙTr©uÙ2	5	180	0	0
4545edt35we2	5	150	0	0
34534535	5	150	0	0
V«•T×nhÄKiÕm@1	5	180	0	0
SugarFick	4	150	5e-09	0
gfhfgr564	5	150	0	0
KieuPhong	5	150	0.001117387	0
ThaoMy	5	150	0	0
234234234234234	5	150	0	0
eeeeeeeeqeq	5	150	0	0
CoÙCoÙLong	5	150	2.956598765	11
H¶iÙGµÙBMT2Ù47	4	150	2.919023623	22
namdocchuong	5	157	5.249870975	13
asdasdaerr	5	150	0	0
…ThÇn•Men…5	5	154	13.539032892	42
21rwra	5	150	0	0
YoÙCLS	5	151	23.501421971	73
KhiÙKhŞ	5	150	0	0
hjghjhgjv	5	150	0	0
PCXÙ150	5	150	23.007017763	71
§ÑpÙNh­ÙNµngÙTh¬	4	185	30.603523656	53
TLBTÙHungKen	5	180	1.000290078	0
uyfkuy	5	150	0	0
Lu©nÙKa	4	150	0.026863161	0
htrhtrjrt	5	150	0	0
gfbfrt86	5	150	0	0
TieuLaoGia	5	152	14.299728691	55
…ThÇn•Men…1	5	154	28.00532851	87
…ThÇn•Men…2	5	180	10.001150222	22
…ThÇn•Men…3	5	180	11.001164958	25
csvdcv	5	150	0	0
TestÙ3ÙÙ	5	180	1.006094687	2
tşuyjyu	5	150	0	0
324242424	5	150	0	0
KhuªÙMécÙLang	5	181	19.036722622	43
DGDFGDFGDF	5	150	0	0
tyjhetyjeuj	5	150	0	0
aerrearrera	5	150	0	0
DuyNgaCL	5	150	20.228508939	79
KiÕm§åMaxx267	5	150	0	0
KiÕm§åMaxx268	5	150	0	0
KiÕm§åMaxx265	5	150	0	0
KiÕm§åMaxx266	5	150	0	0
qwe4qlwep	5	150	0	0
jkhjkhjkhjh	5	150	0	0
tgrtgreger5	5	150	0	0
NanhÙTr¾ng	5	150	1.139000001	4
tttttgtgy	5	150	0	0
ChóÙTiÓuÙ01	5	150	0	0
SugarDaddy	5	150	0	0
­qdqedfqwefe3	5	150	0	0
dasdadasd	5	150	0	0
gfdfgfgfsdg	5	150	0	0
3665a6s5d6	5	150	0	0
errewrwrwe	5	150	0	0
dwsdqwedqweq	5	150	0	0
erfewfedf	5	150	0	0
q­eqewqerqqe	5	150	0	0
vbcvbv	5	150	0	0
GaÙChuãi	5	150	0	0
sdfdsfsdf	5	150	0	0
rrrrrrrrr	5	150	0	0
234324324234	5	150	0	0
httrhrthret	5	150	0	0
eeeeeeee444	5	150	0	0
qeweff	5	150	0	0
erer34r34	5	150	0	0
q­11wqasdad	5	150	0	0
rfgwefewf	5	150	0	0
jkhjkhk	5	150	0	0
5DCHeMoc	4	150	0.001161557	0
ZetÙ333	4	190	3.699740001	5
453553345	5	150	0	0
SaoÙkª	5	150	0	0
hgjghjghjgh	5	150	0	0
OngTrum00	5	186	114.719840166	99
BuonCuaEm	5	175	64.515350953	72
99754234	5	150	0	0
566w66	5	150	0	0
3423432423	5	150	0	0
TiÓuÙPhi	4	150	0.075910376	0
rdjrdyjrt	5	150	0	0
hgjghjghjhg	5	150	0	0
igulil	5	150	0	0
erwrwe	5	150	0	0
4564645564	5	150	0	0
aaaaaa23edsada	4	150	0	0
lastanloz	5	150	0	0
994jjdm	5	150	0	0
DiªmÙV­¬ng	5	188	14.76665843	33
CaiBang48	5	151	11.135780931	34
asxdfs4	5	150	0	0
2434324	5	150	0	0
GäiBèLµBon04	4	190	3.826778071	5
GäiBèLµBon03	4	194	2.215017014	3
GäiBèLµBon02	4	191	15.357184617	23
KÙOÙTÙEÙX	5	150	7.013243949	27
4444444444444gg	5	150	0	0
rewtrterrwer	5	150	0	0
CèG¸iÙÙN¨mÊy	5	150	0	0
­efwfwsfs	5	150	0	0
234324324	5	150	0	0
BèÙGiµ	5	150	10.496513817	41
TLdaophap	4	150	0.000175242	0
ADminÙH¶i§ÑpTrai	5	150	0	0
B¶oÙKª	5	180	9.399254611	9
sadasd23434	5	150	0	0
fgghththttt	5	180	0	0
011111111	5	150	4.744917865	18
4564646456564	5	150	0	0
qweqweqweee	5	150	3.000043507	11
hththrt	5	150	0	0
fefrefwf	5	150	0	0
1Xe§éc	4	150	0	0
ThieuVanLam	5	155	4.171107496	10
JKLJLKLJKJ	5	150	0	0
xx7up20	5	150	9	35
TaTon11	5	150	0.099521902	0
dsfsdfwsfs	5	150	0	0
CaoGiaKy	4	150	2.42328093	18
trttewrew	5	150	0	0
TNÙGiaÙLinhÙ1	5	180	53.026715807	51
chanÙdoi	4	185	14.05	24
RankÙTh¸chÙ§Êu	5	180	0.001	0
ÙCËuÙC¶Ù	5	158	36.359917531	94
NgaÙÙMy	5	163	18.000005637	51
frgergreger	5	150	0	0
ZnatÙB	5	180	12.001646221	27
HJKHJKHJ	5	150	0	0
§äcC«ÙCÇuB¹i	5	180	1.999001548	4
maxÙwin	5	150	0	0
57757575	5	150	0	0
C«ngbè	5	150	0	0
DeVuong03	5	180	9.719212109000001	9
DeVuong04	5	180	4.506422481	4
sbsdsdg1	5	150	0	0
SeVerÙCuèiÙCB	4	150	4.182029105	32
fgfgfgf	5	150	0	0
rttrjdrj	5	150	0	0
DeVuong02	5	180	8.4026441	8
•93•Ä•Quang•	5	175	74.842387335	83
love33	5	150	0	0
234312222	5	150	0	0
k76u6u6u	5	150	0	0
á5da1sd	5	150	0	0
5doccccccccccc	5	152	19.069294964	59
54366777	5	150	0	0
®écLalal	5	150	29.497552281	92
love5D	5	157	8.304867206000001	21
GäiBèLµBon01	4	191	30.915332769	48
ythjyuj6	5	150	0	0
VjpPro2025	4	150	0.5	3
MrÙKhaÙ1	5	150	24.816616964	96
VjpPro2023	4	150	0.5050000019999999	3
VjpPro2024	4	150	0.700000008	5
MrÙKhaÙ4	5	150	0	0
asdasd23a1	5	150	0	0
MrÙKhaÙ2	5	150	23.900096305	93
ADJxGiangHo	0	200	0	0
1235456788y	5	150	0	0
SGÙMozilla	4	150	2.820717196	22
C«nL«nBull	5	180	40.499932132	39
Changeste	5	150	0	0
ascascxz1	5	150	0	0
ÙAnhÙ3Ù	4	189	22.3689285	38
¸5d4654a	5	150	0	0
rgreehr	5	150	0	0
4564646t	5	150	0	0
VDÙ005	5	187	25.974862077	59
ujyuuyktyiuy	5	150	0	0
asdaqwe12	5	150	0	0
Ahihi4	5	180	2.10000921	2
Ahihi3	5	180	1.107	1
zNHCzKimLong	5	151	12.702143531	39
ftweffef	5	150	0	0
NuHiep	5	150	0	0
rrrrrrrrrr	5	150	0	0
ThikBopTrym	5	150	0.00031052	0
jhjjjjjjj	5	150	0	0
thgrereerre	5	150	0	0
C«nÙL«nÙKiÕm	5	150	25.002435829	78
wretgrfgrr	5	150	0	0
dfgdhgdfgh	5	150	0	0
ABCVDK	5	150	0	0
ghgjhjh	5	150	0	0
uuuuuuuu344	5	150	0	0
rtjtyjrdt	5	150	0	0
Lozzzzzzz	5	150	9.4824e-05	0
qweqweasda	5	150	0	0
TiÓuÙTamÙCa	5	150	0	0
qweqq12312	5	150	0	0
chuytv	5	150	0	0
454fdfwerfwesdfs	5	150	0	0
rrrrrrrr4	5	150	0	0
LoveMoney1	4	150	9.6519e-05	0
67hjgkjl	5	150	0	0
§êiÙC«Ù§éc	5	180	0	0
jkhjkjhk	5	150	0	0
•JAVÄMon•	5	374	24.639513684	32
qweqweqeqwe	5	150	0	0
eqwqefsfs	5	150	0	0
a3sd322132d	5	150	0	0
QuûÙ§éc	5	151	5.742223615	22
BunÙ18cm	5	180	4.999506103	11
23211231	5	150	0	0
CauBaLucBinh	5	180	0	0
Bithieulam	5	150	0.009035137	0
vuiuujj	5	150	0	0
72ÙTLBTK	5	150	28.993539381	90
dfgfdg3456sdf235	5	150	0	0
§NA§¹i	5	150	0	0
ewrwrewr	5	150	0	0
11qwe545	5	150	0	0
tannat13	5	150	2.9985487	11
q­qere	5	150	0	0
B¾cÙC¸i	5	150	4.915432897	19
tannat12	5	150	2.998511774	11
tannat10	5	150	0.999551293	3
ÙÙV¹nÙ§éc	0	150	0	0
ÙM¹nhÙ	5	153	0.899740004	3
BUONÙVIÙYEU	4	189	20.039003393	34
QuªÙLån	5	180	0	0
PhuongÙDk	0	150	0	0
jghjhgj	5	150	0	0
fdsghfsdghfsdhg	4	185	14.05	24
fgdfgdfg	5	150	0	0
asdasdas34	5	150	0	0
cvcvcvcv	5	150	0	0
DuyNgaND	5	150	20.225656098	79
H¶iÙGµÙBMT1Ù47	4	150	1.913317705	14
Ù1ÙThêiÙ02	5	153	10.416743235	40
¸Hù¸Hù	4	154	2.000039051	15
Ch¹yÙNgayÙ§i	5	191	40.983506821	78
dfhfdhjfdg	4	185	14.05	24
zxczxca133	5	150	0	0
DuyNgaNM	5	150	0.22946171	0
yjytjyd	5	150	0	0
qweqerfe	5	150	0	0
fghgfhgfhfdghfdh	5	150	0	0
13qe12	5	150	0	0
Quangbmt	4	150	0.042120479	0
eqweqweqwewqe	5	150	0	0
KiÕm§åMaxx551KiÕ	5	150	0	0
21312wdeqwe	5	150	0	0
yjytjyt	5	150	0	0
hgfjhdfgdf	5	150	0	0
2342332e3	5	150	0	0
4646rtgr43q2	5	150	0	0
drftgfdgdfgdfgdf	5	150	0	0
NMbuff	5	180	0.413000003	0
hgjghjty6u5	5	150	0	0
ChñTiÒnTrang	5	150	18.002487805	56
