talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
41	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^
42	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^
43	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^
44	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^
45	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^
46	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^
47	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^
48	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^
49	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^
50	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^	Chµo mõng ®Õn víi MU Vâ L©m ^^
